# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
jin shui 	进水	c=1 d=1 t=9658
jin tang 	金塘	c=1 d=1 t=13253
jin tian 	今天	c=22 d=1.33273 t=16418
jin wan 	今晚	c=1 d=1 t=10463
jin xing 	进行	c=10 d=0.000223278 t=16418
jin xing 	金星	c=1 d=1 t=13159
jin xiu 	锦绣	c=2 d=1 t=16352
jin zao 	尽早	c=1 d=1 t=13614
jin zhan 	进展	c=2 d=1.90484 t=15881
jin zhi 	禁止	c=2 d=1.90665e-09 t=16418
jing 	敬	c=1 d=1 t=13307
jing chang 	经常	c=2 d=0.000171659 t=16418
jing dong 	京东	c=11 d=0.2067 t=16418
jing dou 	京豆	c=2 d=0.0328787 t=16418
jing guo 	经过	c=1 d=1 t=14858
jing ji 	经济	c=2 d=4.13994e-08 t=16418
jing jiu 	敬酒	c=1 d=1 t=4908
jing li 	经历	c=3 d=8.88887e-10 t=16418
jing li 	经理	c=5 d=1.98154 t=10018
jing shen 	精神	c=6 d=4.45176 t=4744
jing tai 	静态	c=2 d=2.37249e-09 t=16418
jing wei du 	经纬度	c=5 d=1.10674 t=15235
jing wu 	警务	c=1 d=1.46657e-05 t=16418
jing xiang 	镜像	c=2 d=0.00157264 t=16418
jing yan 	经验	c=3 d=1.27332e-09 t=16418
jing ying 	经营	c=2 d=1.56836 t=10592
jing zheng 	竞争	c=1 d=1 t=5783
jing zhun 	精准	c=1 d=1 t=13627
jiu 	久	c=3 d=1.613e-07 t=16418
jiu 	就	c=37 d=0.024425 t=16418
jiu 	旧	c=1 d=0.0203434 t=16418
jiu ban 	旧版	c=3 d=1.98021 t=10704
jiu ban ben 	旧版本	c=1 d=1 t=5120
jiu chang 	酒场	c=1 d=1 t=4941
jiu dei 	就得	c=1 d=1 t=5169
jiu dian ban 	九点半	c=1 d=1 t=12278
jiu fei chang 	就非常	c=1 d=0.00103848 t=16418
jiu ke 	就可	c=0 d=4.52827e-05 t=16418
jiu ke yi 	就可以	c=2 d=0.0777601 t=16418
jiu liu 	久留	c=1 d=1 t=6153
jiu long 	九龙	c=1 d=1 t=16355
jiu long jun 	九龙郡	c=1 d=1 t=13241
jiu qu 	就去	c=1 d=0.0222592 t=16418
jiu shi 	就是	c=24 d=0.194237 t=16418
jiu shi shuo 	就是说	c=1 d=4.62132e-08 t=16418
jiu shi ta 	就是他	c=1 d=0.000389752 t=16418
jiu xing 	就行	c=2 d=5.25012e-07 t=16418
jiu xing le 	就行了	c=1 d=5.1578e-06 t=16418
jiu xu yao 	就需要	c=1 d=1 t=14106
jiu yao 	就要	c=4 d=0.0178288 t=16418
jiu ye 	就业	c=4 d=0.0260005 t=16418
jiu yue 	九月	c=1 d=0.0611149 t=16418
jiu zai 	就在	c=1 d=2.58079e-07 t=16418
jiu zhi 	就只	c=0 d=0.008291 t=16418
jiu zhi you 	就只有	c=1 d=0.0833256 t=16418
jiu zhuan 	救砖	c=1 d=1 t=5193
jiu zuo 	久坐	c=1 d=1 t=4670
ju 	局	c=6 d=0.0167045 t=16418
ju 	据	c=2 d=1.0073 t=9329
ju ban 	举办	c=1 d=0.00509243 t=16418
ju can 	聚餐	c=1 d=1 t=6393
ju da 	巨大	c=1 d=1 t=6559
ju dian 	句点	c=1 d=1 t=8343
ju dian 	局点	c=7 d=2.38905 t=10109
ju ji 	聚集	c=1 d=1 t=12737
ju ju 	聚居	c=3 d=0.000229682 t=16418
ju li 	距离	c=1 d=0.00492917 t=16418
ju li bu gou 	距离不够	c=1 d=0.0495388 t=16418
ju ran 	居然	c=8 d=0.583328 t=16418
ju ti 	具体	c=5 d=0.178173 t=16418
ju ti qing kuang 	具体情况	c=1 d=1 t=10940
ju yu 	局域	c=1 d=0.000234044 t=16418
ju yu wang 	局域网	c=1 d=0.00194986 t=16418
ju zhu 	居住	c=1 d=0.000184106 t=16418
juan 	卷	c=3 d=0.00242967 t=16418
juan 	娟	c=1 d=1 t=14568
jue de 	觉得	c=9 d=0.0146259 t=16418
jun 	军	c=1 d=1 t=6751
jun 	郡	c=1 d=1 t=16356
jun ge 	俊哥	c=1 d=0.00319873 t=16418
jun gong 	竣工	c=1 d=1 t=15897
ka 	卡	c=9 d=2.29551e-09 t=16418
ka de 	卡的	c=1 d=3.52842e-10 t=16418
ka dun 	卡蹲	c=1 d=1 t=4553
ka dun 	卡顿	c=1 d=1 t=4566
ka fu zhi 	卡复制	c=1 d=3.69083e-10 t=16418
ka pian 	卡片	c=0 d=0.000198925 t=16418
ka pian ce shi 	卡片测试	c=1 d=0.00199922 t=16418
ka sha 	卡莎	c=1 d=3.30524e-06 t=16418
kai 	开	c=6 d=7.61927e-08 t=16418
kai bu chu lai 	开不出来	c=1 d=1.43802e-09 t=16418
kai bu liao 	开不了	c=0 d=0.1 t=5275
kai bu liao ji 	开不了机	c=1 d=1 t=5276
kai che 	开车	c=1 d=1 t=4557
kai fa 	开发	c=2 d=1 t=11322
kai fa ban 	开发板	c=1 d=1 t=12414
kai fa qu 	开发区	c=1 d=1 t=11332
kai fa zhe 	开发者	c=1 d=0.000202454 t=16418
kai fang 	开放	c=1 d=1.03901e-09 t=16418
kai gong 	开工	c=4 d=0.00059235 t=16418
kai hui 	开会	c=8 d=0.0475963 t=16418
kai kai 	开开	c=1 d=0.000633025 t=16418
kai qi 	开启	c=1 d=0.000201444 t=16418
kai shi 	开始	c=8 d=0.000348388 t=16418
kai shi shi gong 	开始施工	c=1 d=1 t=13615
kai tong 	开通	c=2 d=0.10035 t=10110
kai tong gong zuo 	开通工作	c=1 d=1 t=10111
kai zhan 	开展	c=6 d=1.80965 t=13559
kan 	看	c=16 d=1.45667 t=16418
kan bu chu 	看不出	c=1 d=1 t=12929
kan bu dao 	看不到	c=1 d=1 t=12162
kan chu lai 	看出来	c=1 d=6.94551e-07 t=16418
kan cuo 	看错	c=1 d=1 t=5088
kan da 	看打	c=1 d=1.62893e-05 t=16418
kan dao 	看到	c=3 d=0.1 t=16319
kan dian shi 	看电视	c=1 d=1 t=6229
kan guo 	看过	c=1 d=1 t=7839
kan kan 	看看	c=5 d=1.00046 t=13430
kan kan zi ji 	看看自己	c=1 d=1 t=11534
kan le 	看了	c=3 d=0.571209 t=16418
kan ni 	看你	c=1 d=1 t=9614
kan qi lai 	看起来	c=1 d=1 t=6376
kan qing 	看清	c=1 d=0.0724398 t=16418
kan shang qu 	看上去	c=2 d=1.0003 t=8542
kan shi pin 	看视频	c=2 d=0.554327 t=16418
kan si 	看似	c=1 d=1 t=5351
kan tu 	看图	c=2 d=1.00112 t=11667
kan xin wen 	看新闻	c=1 d=0.0256042 t=16418
kan yi 	看一	c=1 d=1 t=7149
kan yi xia 	看一下	c=2 d=0.102491 t=15900
kan zhe 	看着	c=1 d=0.0231676 t=16418
kang 	康	c=1 d=1 t=13210
kang ji 	抗击	c=1 d=1 t=12804
kao 	考	c=2 d=9.48853e-07 t=16418
kao 	靠	c=1 d=1 t=5871
kao bian 	考编	c=1 d=7.83104e-07 t=16418
kao cha 	考察	c=1 d=1.53407e-05 t=16418
kao chang 	考场	c=2 d=2.27435e-08 t=16418
kao gong 	考公	c=1 d=7.8703e-07 t=16418
kao guo 	考过	c=1 d=8.69802e-07 t=16418
kao he 	考核	c=2 d=1 t=12553
kao huo 	烤火	c=1 d=0.551563 t=16418
kao lv 	考虑	c=4 d=0.442639 t=16418
kao qin 	考勤	c=1 d=1 t=8691
kao sheng 	考生	c=1 d=1.54176e-05 t=16418
kao shi 	考试	c=5 d=0.00651174 t=16418
kao yan 	考研	c=2 d=0.00755988 t=16418
ke 	可	c=2 d=0.000437252 t=16418
ke 	壳	c=1 d=1 t=11497
ke 	课	c=4 d=2.59329e-05 t=16418
ke bu 	可不	c=0 d=0.1 t=9355
ke bu jiu 	可不就	c=1 d=1 t=9356
ke bu yi 	可不一	c=1 d=0.000850233 t=16418
ke cheng 	课程	c=3 d=3.57128e-05 t=16418
ke fou 	可否	c=1 d=1 t=10603
ke hu 	客户	c=2 d=1 t=14109
ke hu duan 	客户端	c=2 d=9.88334e-10 t=16418
ke ji 	科技	c=2 d=3.50293e-05 t=16418
ke mu 	科目	c=4 d=0.00555449 t=16418
ke mu er 	科目二	c=2 d=0.00528561 t=16418
ke mu san 	科目三	c=5 d=0.0100558 t=16418
ke neng 	可能	c=2 d=1.00009 t=9611
ke shi 	可是	c=1 d=0.011109 t=16418
ke shi gong 	可施工	c=1 d=1 t=10920
ke ting 	客厅	c=1 d=0.548812 t=16418
ke wang 	客网	c=1 d=2.20527e-10 t=16418
ke xi 	可惜	c=1 d=1 t=5981
ke xuan 	可选	c=1 d=8.72202e-11 t=16418
ke xuan de 	可选的	c=1 d=8.76574e-10 t=16418
ke yi 	可以	c=56 d=1.23898 t=16418
ke yi bei 	可以被	c=1 d=3.61775e-10 t=16418
ke yi kao lv 	可以考虑	c=2 d=1 t=10764
ke yi kuo rong 	可以扩容	c=2 d=1.19495 t=7410
ke yi na 	可以拿	c=1 d=1 t=5376
ke yi yong 	可以用	c=0 d=0.1 t=8131
ke yi yun xing 	可以运行	c=1 d=1 t=5956
ke yong xing 	可用性	c=2 d=0.000334954 t=16418
ke yu 	可与	c=1 d=5.01747e-05 t=16418
ke zai 	可在	c=1 d=7.89201e-10 t=16418
ke zhi 	克制	c=1 d=1 t=4722
ken ding 	肯定	c=3 d=1.00009 t=8162
keng 	坑	c=0 d=0.1 t=15215
keng da keng shen 	坑大坑深	c=1 d=1 t=15216
keng die 	坑爹	c=1 d=1 t=15226
kong 	控	c=2 d=0.0685632 t=16418
kong bai 	空白	c=3 d=2.88839 t=11950
kong ge 	空格	c=1 d=1 t=9973
kong jian 	控件	c=1 d=1 t=11840
kong jian 	空间	c=3 d=3.39827e-09 t=16418
kong zhi 	控制	c=11 d=0.00019791 t=16418
kong zhi 	空值	c=2 d=1 t=11415
kou 	口	c=5 d=2.36562 t=10104
ku 	哭	c=2 d=5.18542e-10 t=16418
ku cun 	库存	c=1 d=1 t=11460
kua 	垮	c=1 d=1 t=6562
kua fu 	跨服	c=1 d=1 t=14719
kuai 	块	c=3 d=0.0332068 t=16418
kuai 	快	c=1 d=1 t=8171
kuai di 	快递	c=2 d=1 t=14157
kuai jie 	快捷	c=1 d=0.0152985 t=16418
kuai jie fang shi 	快捷方式	c=3 d=2.51535 t=6680
kuai jie jian 	快捷键	c=2 d=1 t=16083
kuai le 	快乐	c=1 d=0.847894 t=16418
kuai pao 	快跑	c=1 d=1 t=7320
kuai su 	快速	c=82 d=6.35905 t=16398
kuai su kuo rong 	快速扩容	c=12 d=1.47519 t=14829
kuai suo 	块所	c=1 d=1 t=16390
kuan dai 	宽带	c=26 d=5.70782 t=16105
kuan xian 	宽限	c=1 d=1 t=13143
kuang jia 	框架	c=1 d=0.00120654 t=16418
kuang tu 	狂徒	c=1 d=3.45738e-06 t=16418
kui 	亏	c=1 d=1 t=16042
kui 	魁	c=0 d=0.1 t=16039
kui ben 	亏本	c=1 d=1 t=16037
kui bu kui de qi 	魁不亏得起	c=1 d=1 t=16040
kui le 	亏了	c=1 d=0.00311976 t=16418
kun nan 	困难	c=2 d=0.000387808 t=16418
kun rao 	困扰	c=1 d=1 t=4690
kuo 	扩	c=1 d=1 t=13668
kuo rong 	扩容	c=102 d=7.77955 t=16399
kuo zhan 	扩展	c=1 d=1 t=6740
la 	啦	c=1 d=2.39472e-09 t=16418
la 	拉	c=5 d=0.0342181 t=16418
la ji 	垃圾	c=1 d=1 t=6073
la xian 	拉线	c=1 d=1 t=12617
lai 	来	c=18 d=0.024416 t=16418
lai bu lai 	来不来	c=1 d=1 t=9490
lai da 	来打	c=1 d=1.07306e-06 t=16418
lai dao 	来到	c=1 d=1 t=8701
lai de 	来的	c=3 d=1 t=15392
lai kan 	来看	c=1 d=1 t=9304
lai shuo 	来说	c=2 d=3.6203e-07 t=16418
lai xiang 	来向	c=1 d=1 t=13113
lai yuan 	来源	c=10 d=1.21509 t=15468
lai zhe 	来着	c=1 d=3.8408e-08 t=16418
lai zi 	来自	c=11 d=1.63226 t=15698
lai zi yu 	来自于	c=1 d=1 t=11219
lan 	懒	c=2 d=1.99501 t=4823
lan ya 	蓝牙	c=1 d=1 t=6400
lao 	捞	c=1 d=1 t=12718
lao 	老	c=3 d=0.00963276 t=16418
lao ban 	老板	c=1 d=1 t=15057
lao bu dong 	捞不动	c=1 d=1 t=5967
lao dong 	劳动	c=6 d=0.00117199 t=16418
lao fan 	牢饭	c=1 d=4.59827e-08 t=16418
lao guan 	老官	c=1 d=1 t=15771
lao ma 	老妈	c=2 d=1.57698e-06 t=16418
lao qian 	捞钱	c=2 d=3.45174e-08 t=16418
lao shi 	老师	c=4 d=2.16272e-05 t=16418
lao tai 	老台	c=0 d=0.1 t=11475
lao tai men 	老台门	c=1 d=1 t=11476
lao yuan gong 	老员工	c=1 d=0.0968105 t=16418
lao zhu 	老朱	c=1 d=1 t=14978
le 	乐	c=1 d=1 t=10702
le 	了	c=241 d=6.29561 t=16418
lei 	类	c=0 d=0.1 t=5230
lei 	雷	c=11 d=0.130905 t=16418
lei ji 	累计	c=1 d=1 t=12795
lei mu 	泪目	c=1 d=1 t=15523
lei niao 	雷鸟	c=1 d=1 t=10707
lei she 	雷蛇	c=1 d=1 t=15757
lei shen 	雷神	c=9 d=0.0743766 t=16418
lei shui 	泪水	c=1 d=1 t=12826
lei si 	类似	c=1 d=1.00002 t=10655
lei xing 	类型	c=4 d=0.00112497 t=16418
lei yuan sheng 	类原生	c=1 d=1 t=5231
leng 	冷	c=1 d=0.00733572 t=16418
li 	例	c=1 d=1 t=12801
li 	李	c=3 d=1.03405 t=15753
li 	离	c=0 d=4.24474e-09 t=16418
li 	里	c=4 d=1.94649 t=10757
li fa 	理发	c=1 d=0.00238156 t=16418
li gong 	理工	c=10 d=3.17507e-05 t=16418
li gong xue yuan 	理工学院	c=0 d=2.4617e-11 t=16418
li hai 	厉害	c=2 d=0.0710054 t=16418
li hui 	例会	c=1 d=1 t=6644
li hui 	理会	c=1 d=1 t=8573
li ji 	立即	c=1 d=1 t=14872
li juan 	丽娟	c=0 d=0.1 t=14566
li le 	离了	c=0 d=0.00389686 t=16418
li le ge 	离了个	c=1 d=0.0391639 t=16418
li lian chun 	黎莲春	c=1 d=1 t=9785
li mian 	里面	c=19 d=1.82903 t=16418
li pin 	礼品	c=1 d=0.00252883 t=16418
li pu 	离谱	c=5 d=1.44351 t=16418
li qin 	丽琴	c=1 d=1 t=15899
li ren 	利刃	c=1 d=1 t=12084
li shi 	历史	c=3 d=0.000210153 t=16418
li shi shang 	历史上	c=0 d=2.02978e-06 t=16418
li shi shang ren men 	历史上人们	c=1 d=2.03995e-05 t=16418
li shi zhen 	李时珍	c=2 d=5.65974e-05 t=16418
li wu 	礼物	c=2 d=0.00507045 t=16418
li wu han 	离武汉	c=1 d=4.26602e-08 t=16418
li xi 	利息	c=1 d=1 t=12530
li yong 	利用	c=1 d=1 t=16160
li yong lv 	利用率	c=2 d=1.99501 t=16159
li you 	理由	c=1 d=1 t=6362
li zhi 	离职	c=2 d=1.08781 t=9270
li zhi lv 	离职率	c=1 d=1 t=9245
lian 	连	c=3 d=3.3384e-08 t=16418
lian de 	连得	c=1 d=6.79156e-08 t=16418
lian fa 	练法	c=1 d=1 t=4970
lian ge 	连个	c=1 d=1 t=5344
lian jie 	廉洁	c=2 d=1.86502 t=8762
lian jie 	连接	c=7 d=0.00052856 t=16418
lian jie 	链接	c=1 d=7.17376e-08 t=16418
lian jie cuo wu 	连接错误	c=1 d=7.17434e-06 t=16418
lian meng 	联盟	c=2 d=4.59749e-06 t=16418
lian shang 	连上	c=1 d=0.131336 t=16418
lian tong 	联通	c=54 d=0.83041 t=16418
lian xi 	联系	c=11 d=0.000136347 t=16418
lian xi fang shi 	联系方式	c=1 d=1 t=10530
lian xi ren 	联系人	c=2 d=1.00002 t=10243
lian zhe 	连这	c=1 d=1 t=6029
liang 	两	c=0 d=0.1 t=12984
liang 	亮	c=1 d=1 t=9938
liang dian 	两点	c=1 d=3.1289e-08 t=16418
liang fang 	两方	c=3 d=2.76978e-08 t=16418
liang ge 	两个	c=7 d=0.0120301 t=16418
liang ge 	亮哥	c=1 d=1 t=7299
liang ge duo 	两个多	c=1 d=1 t=5562
liang ge xiao shi 	两个小时	c=1 d=1 t=6027
liang ge yue 	两个月	c=1 d=1 t=9187
liang hua 	量化	c=2 d=1.97045 t=4595
liang ping mi 	两平米	c=1 d=1 t=12985
liang shi 	粮食	c=1 d=1 t=13778
liang tai 	两台	c=1 d=1 t=9640
liang tian 	两天	c=1 d=1 t=8667
liang xin 	良心	c=0 d=0.000159641 t=16418
liao 	聊	c=2 d=1.00008 t=13970
liao jie 	了解	c=6 d=0.000374664 t=16418
liao jie le 	了解了	c=1 d=1 t=7798
liao tian 	聊天	c=5 d=0.381387 t=16418
lie 	列	c=1 d=1.02357 t=7200
lie biao 	列表	c=7 d=1.98511 t=15606
lin 	林	c=2 d=1.01116 t=13433
lin jin 	临近	c=1 d=1 t=15824
lin jun jie 	林俊杰	c=2 d=1.99501 t=9158
lin shi 	临时	c=1 d=9.14554e-09 t=16418
ling 	岭	c=1 d=1 t=13199
ling dao 	领导	c=11 d=5.37265e-07 t=16418
ling gan 	灵感	c=1 d=1 t=4762
ling ji 	零几	c=1 d=1 t=5853
ling ling 	玲玲	c=0 d=0.1 t=13177
ling shi 	零食	c=0 d=0.000467746 t=16418
ling wai 	另外	c=1 d=1 t=16224
liu 	六	c=4 d=1 t=12908
liu 	刘	c=4 d=3.59672 t=11739
liu 	柳	c=17 d=1.20513 t=16187
liu 	流	c=1 d=1 t=4675
liu an 	刘安	c=2 d=6.17994e-05 t=16418
liu cheng 	流程	c=14 d=2.78154e-08 t=16418
liu dong 	刘东	c=2 d=1.11648 t=14091
liu dong 	流动	c=2 d=1.98511 t=14095
liu dong xing 	流动性	c=1 d=1 t=5449
liu fang 	流放	c=1 d=1 t=6461
liu ge 	六个	c=1 d=0.0270518 t=16418
liu hao 	六号	c=0 d=0.1 t=4764
liu hong wu 	柳宏武	c=2 d=1.05182 t=14383
liu jing 	流经	c=1 d=2.01965e-05 t=16418
liu lan qi 	浏览器	c=9 d=0.247833 t=16418
liu qi 	六七	c=0 d=0.1 t=9486
liu qi shi 	六七十	c=1 d=1 t=9487
liu xia 	留下	c=1 d=1 t=12822
liu yue 	六月	c=3 d=0.060205 t=16418
liu yue di 	六月底	c=3 d=1 t=16201
liu zai 	留在	c=2 d=0.0858632 t=16418
liu zi 	柳子	c=3 d=1 t=14633
liu zi 	溜子	c=0 d=0.1 t=15942
liu zi 	镏子	c=0 d=0.1 t=15732
liu zi bin 	柳子彬	c=56 d=0.574344 t=16418
liu zi bin 	溜子彬	c=1 d=1 t=15943
liu zi bin 	镏子彬	c=1 d=1 t=15733
liu zi chen 	柳子辰	c=1 d=1 t=9502
long 	弄	c=1 d=0.0347353 t=16418
long 	龙	c=1 d=1 t=13167
long du 	弄度	c=1 d=1 t=12776
long hao 	弄好	c=1 d=1 t=14163
long tan 	龙潭	c=1 d=1 t=15421
lou 	楼	c=2 d=1 t=13220
lou 	露	c=1 d=1 t=13336
lou dan 	漏单	c=1 d=1 t=10067
lou feng 	漏风	c=0 d=0.1 t=12254
lou xia 	楼下	c=1 d=1 t=14614
lou yu 	楼宇	c=1 d=1 t=14219
lou yuan 	楼园	c=1 d=1 t=14151
lu 	卢	c=3 d=1.10712 t=13819
lu 	录	c=13 d=1.00001 t=16359
lu 	路	c=1 d=1 t=14607
lu bian 	路边	c=2 d=0.00511077 t=16418
lu fang 	卢方	c=1 d=1 t=13798
lu fang rong 	卢方荣	c=5 d=1.00046 t=15930
lu guo 	路过	c=1 d=2.16124e-08 t=16418
lu hao 	录号	c=1 d=1 t=16347
lu hao xian 	录号线	c=8 d=1.00005 t=16260
lu jing 	路径	c=2 d=1.18591e-06 t=16418
lu ru 	录入	c=11 d=8.1236e-05 t=16418
lu xian 	路线	c=1 d=1.22815e-06 t=16418
lu yin 	录音	c=0 d=0.1 t=5258
lu yin ji 	录音机	c=1 d=0.000337144 t=16418
lu yin qi 	录音器	c=1 d=1 t=5259
lu you 	路由	c=3 d=2.20986 t=14202
lu you qi 	路由器	c=2 d=4.62389e-06 t=16418
lu zhi 	录制	c=1 d=1 t=6693
luo 	咯	c=2 d=1.00852 t=10638
luo 	罗	c=2 d=1.1142e-05 t=16418
luo 	落	c=1 d=1 t=13338
luo ji 	逻辑	c=2 d=1.97531 t=7015
luo qi 	罗颀	c=1 d=3.41414e-05 t=16418
luo ri 	落日	c=1 d=7.58127e-08 t=16418
luo si dao 	螺丝刀	c=1 d=0.0544757 t=16418
luo xiao 	罗霄	c=36 d=1.07585 t=15542
lv 	氯	c=1 d=1 t=12779
lv 	率	c=10 d=2.65232 t=16418
lv fang 	氯仿	c=1 d=1 t=12838
lv jing 	滤镜	c=1 d=1.36459e-10 t=16418
m 	呒	c=1 d=1 t=9638
m leng m 	呣冷呒	c=1 d=0.00193045 t=16418
ma 	吗	c=32 d=0.483699 t=16418
ma 	嘛	c=16 d=1.00541 t=16380
ma 	妈	c=1 d=0.122456 t=16418
ma 	码	c=7 d=0.722863 t=16418
ma fan 	麻烦	c=5 d=0.258075 t=16418
ma fan le 	麻烦了	c=1 d=1.32746e-09 t=16418
ma qiao 	马桥	c=4 d=1 t=16194
ma tou 	码头	c=3 d=2.4008 t=11736
mai 	买	c=27 d=0.100113 t=16418
mai 	卖	c=1 d=2.18861e-09 t=16418
mai bu qi 	买不起	c=3 d=1.98515 t=6190
mai cai 	买菜	c=9 d=0.059262 t=16418
mai che 	买车	c=1 d=1 t=12869
mai ge 	买个	c=2 d=1.90032 t=6262
mai ling shi 	买零食	c=1 d=0.00470091 t=16418
mai ma 	买嘛	c=1 d=0.00802655 t=16418
mai qian 	卖钱	c=1 d=1 t=9672
mai shen 	卖身	c=1 d=3.63526e-08 t=16418
mai shui 	买水	c=5 d=0.00727023 t=16418
mai yan 	买烟	c=2 d=0.00583368 t=16418
mai yi ge 	买一个	c=1 d=1 t=10765
man 	满	c=1 d=1.01541 t=5547
man 	蛮	c=1 d=2.41879e-09 t=16418
man de 	满地	c=1 d=1 t=8221
mang 	忙	c=2 d=1.00117 t=9836
mang xie 	忙些	c=1 d=0.0893673 t=16418
mao 	毛	c=1 d=1 t=12723
mao ze dong 	毛泽东	c=1 d=1 t=4653
mei 	每	c=5 d=0.603506 t=16418
mei 	没	c=21 d=1.6421 t=16418
mei 	美	c=1 d=1 t=10701
mei ban fa 	没办法	c=3 d=0.0193514 t=16418
mei bu tie 	没补贴	c=2 d=1.99005 t=12729
mei duo shao 	没多少	c=1 d=8.06953e-07 t=16418
mei fa 	没发	c=1 d=1 t=9366
mei fen zhong 	每分钟	c=1 d=1.69541e-05 t=16418
mei ge 	每个	c=5 d=3.56267e-06 t=16418
mei guo lai 	没过来	c=1 d=1 t=16374
mei hao 	美好	c=2 d=1 t=16197
mei hua 	美化	c=1 d=1 t=5105
mei jian 	没见	c=1 d=1 t=5729
mei kan 	没看	c=0 d=0.1 t=13326
mei kan dao 	没看到	c=1 d=1 t=13327
mei lan 	没蓝	c=1 d=1.44523e-09 t=16418
mei le 	没了	c=5 d=2.80704e-07 t=16418
mei na me 	没那么	c=1 d=3.66294e-09 t=16418
mei neng li 	没能力	c=1 d=2.76792e-07 t=16418
mei ping mu 	没屏幕	c=1 d=1 t=10181
mei qian 	没钱	c=3 d=1 t=10727
mei sha 	没啥	c=3 d=0.0325493 t=16418
mei shen me 	没什么	c=1 d=3.81178e-07 t=16418
mei shi 	没事	c=1 d=1 t=14722
mei shi 	美事	c=1 d=1 t=6449
mei shi 	美食	c=0 d=1.51514e-07 t=16418
mei shi dian 	美食店	c=1 d=1.52274e-06 t=16418
mei tian 	每天	c=6 d=1 t=15485
mei ting shuo 	没听说	c=1 d=1 t=12687
mei wan 	没玩	c=1 d=0.0106734 t=16418
mei wang 	没网	c=1 d=1 t=4574
mei xia 	没下	c=1 d=1 t=9441
mei yi 	每一	c=0 d=0.1 t=11052
mei yi xiang 	每一项	c=1 d=1 t=11053
mei yong 	没用	c=1 d=4.31931e-07 t=16418
mei you 	没有	c=42 d=0.343536 t=16418
mei you zuo 	没有做	c=1 d=1 t=14580
mei yue 	每月	c=5 d=0.000617587 t=16418
mei zai 	美哉	c=1 d=1 t=7309
mei zhao dao 	没找到	c=2 d=3.33903e-08 t=16418
mei zhou 	每周	c=3 d=1.96561 t=9700
men 	们	c=6 d=0.456184 t=16418
men 	门	c=5 d=1.00023 t=14402
men mian 	门面	c=1 d=1 t=14609
meng 	梦	c=1 d=0.423162 t=16418
meng gu 	蒙古	c=2 d=0.000223148 t=16418
meng gu ren 	蒙古人	c=2 d=0.000189115 t=16418
mi 	米	c=3 d=2.97032 t=11692
mi ji 	密集	c=3 d=2.04239 t=13051
mi ma 	密码	c=12 d=0.00172074 t=16418
mi ma suo 	密码锁	c=1 d=3.12943e-10 t=16418
mi mang 	迷茫	c=2 d=1.0008 t=6148
mi mi 	秘密	c=2 d=1.97045 t=6640
mi xue 	蜜雪	c=1 d=1 t=14203
mian 	免	c=1 d=6.92994e-10 t=16418
mian 	面	c=2 d=9.37386e-05 t=16418
mian ban 	面板	c=1 d=1 t=7612
mian bao 	面包	c=1 d=1 t=11488
mian fei 	免费	c=5 d=0.034562 t=16418
mian mian ju dao 	面面俱到	c=1 d=1 t=12253
mian shi 	面试	c=4 d=0.00357068 t=16418
miao 	秒	c=1 d=2.56836e-09 t=16418
miao bian 	描边	c=1 d=1.33711e-06 t=16418
miao qu heng sheng 	妙趣横生	c=1 d=0.0480747 t=16418
miao shu 	描述	c=4 d=1.01262e-05 t=16418
miao wo 	秒我	c=1 d=1.32084e-09 t=16418
mie 	灭	c=1 d=1 t=12839
min 	敏	c=1 d=1 t=14621
min fang 	民房	c=1 d=1 t=13639
min zu 	民族	c=10 d=0.0010714 t=16418
ming 	名	c=2 d=0.00723713 t=16418
ming 	铭	c=1 d=1 t=10572
ming bai 	明白	c=1 d=1 t=7930
ming cheng 	名称	c=11 d=1.98669 t=15295
ming dai 	明代	c=2 d=5.63151e-05 t=16418
ming dan 	名单	c=7 d=1.0513 t=16149
ming dan zhi 	名单制	c=4 d=1.05101 t=16133
ming ling 	命令	c=16 d=0.885142 t=16418
ming ling hang 	命令行	c=4 d=0.000557721 t=16418
ming ming 	命名	c=1 d=1 t=4761
ming nian 	明年	c=3 d=0.0285819 t=16418
ming que 	明确	c=8 d=1.00253 t=14679
ming tian 	明天	c=2 d=1.51566e-10 t=16418
ming xi 	明细	c=50 d=1.0593 t=16250
ming xian 	明显	c=1 d=1 t=6553
ming yun 	命运	c=2 d=0.021884 t=16418
mo 	末	c=1 d=1 t=11453
mo ban 	模版	c=1 d=1 t=10250
mo dao 	摸到	c=1 d=1 t=14983
mo hu 	模糊	c=1 d=0.000294568 t=16418
mo kang 	魔抗	c=1 d=9.3062e-08 t=16418
mo kuai 	模块	c=1 d=1 t=5100
mo ni 	模拟	c=2 d=9.36017e-09 t=16418
mo ni ti 	模拟题	c=1 d=3.79341e-09 t=16418
mo qing chu 	摸清楚	c=1 d=2.12356e-07 t=16418
mo ren 	默认	c=17 d=1 t=16418
mo shi 	模式	c=3 d=1.26905e-09 t=16418
mo yu 	摸鱼	c=4 d=1.0133 t=7307
mou 	某	c=2 d=1.53935e-06 t=16418
mou ge 	某个	c=2 d=2.9468e-06 t=16418
mu biao 	目标	c=9 d=1 t=12447
